what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254028625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254029671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254034437
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314254035093
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314254039937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254040937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254451546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254453703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254463296
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314254464640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254466625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254468453
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314254468546
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314254468593
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1314254469937
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314254471421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254476093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254477593
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314254478421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254483187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254499656
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314254501078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314254501390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314254501546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314254505734
