what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314067270843
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314067275968
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314067285656
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314067289921
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314067292828
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314067303046
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314067305015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314067307156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067310625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067411015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067439312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067465468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067897906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067897906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067898015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314067968781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068014328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068050453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068051265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068051984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068113031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314068128484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068135828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068136609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314068137984
