what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314147567406
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1314147571062
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314147572796
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1314147589578
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1314147591781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314147598515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148469234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148512203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148517453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148518687
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148527687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148579421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148579421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148579546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148759015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314148864984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314149283140
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314149286125
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314149288625
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314149288687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314149399625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314149418671
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1314149423968
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314149424546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314149444234
