what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314074612109
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314074613437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074614265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074641796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074642343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074642953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074662218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074663484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074663875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314074798734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075174484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075237812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075237812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075237937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075308234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075308390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075308390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075309890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075310359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075341890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075457156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075497078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075497078
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075497156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314075769953
