what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258181828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258183359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258185578
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1314258186812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258254406
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1314258254421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258257000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258257000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258257093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258414640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258415000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258415890
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314258420265
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314258420546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314258420921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258426765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258441593
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1314258441609
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314258444156
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314258449109
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314258450500
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314258451437
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314258453812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258455375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314258455390
