what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314322458093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322467765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322507609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314322511656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314322511953
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314322512234
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1314322512500
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314322522281
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314322522875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322527062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322596484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314322609000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314322610015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322634390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322708406
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314322724890
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314322730000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314322737875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322752296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322795703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322796921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322797546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322797718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322830187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322841343
