what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980152015
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1313980153468
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1313980153484
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1313980153500
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1313980157828
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1313980157843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980158421
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1313980206531
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1313980207078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980207343
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1313980211296
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1313980211296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980228656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980229812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980232609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980232625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980232734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980305921
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1313980305968
activated,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1313980311265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980313140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980342312
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1313980343468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980421890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313980425296
