what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314076013078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314076021812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076055328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076055968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076056984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076072171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076073656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076074984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076081953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076120187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076121171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076206640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076213156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076213906
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1314076213906
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314076215046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076217515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076221750
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314076221843
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314076221890
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314076234203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076242921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076244609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076245171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314076264375
