what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322849875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322850546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322850546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322850671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322930937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322966062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322966062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314322968515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314323678968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314323684656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314323884125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314323926671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314324168078
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314324169312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314324171500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314324177375
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314324177500
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314324177531
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314324181171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314324182406
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314324184203
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314324228328
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314324229718
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1314324229984
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1314324239140
