what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083418734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083460156
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314083461890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083483109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083497812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083499312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083502078
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083508015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083512468
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314083516578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083532671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083534046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083541546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083542359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083553468
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314083555640
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314083557531
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083561671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083564859
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314083565265
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314083565562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314083569453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314083570718
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083573250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314083591562
