what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083984343
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314083985734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314083987421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314083987562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083988343
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314083988906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083989953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083990265
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314083990468
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314083991671
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314083991859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083995578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314083996125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084003500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084004531
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314084008515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084010953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084011734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314084014609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314084014953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314084015250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084016359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084017062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084017546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314084019578
