what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1314314705046
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1314314705046
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1314314705046
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1314314705062
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1314314705078
os,sysinfo,,,"win32",1314314705078
arch,sysinfo,,,"x86",1314314705078
ws,sysinfo,,,"win32",1314314705078
locale,sysinfo,,,"ko_KR",1314314705078
processors,sysinfo,,,"2",1314314705078
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1314314705078
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1314314705078
java.specification.name,sysinfo,,,"Java Platform API Specification",1314314705078
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314314705078
java.specification.version,sysinfo,,,"1.5",1314314705078
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314314705078
java.version,sysinfo,,,"1.5.0_12",1314314705078
java.vm.info,sysinfo,,,"mixed mode, sharing",1314314705078
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314314705078
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314314705078
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314314705078
java.vm.specification.version,sysinfo,,,"1.0",1314314705078
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314314705078
java.vm.version,sysinfo,,,"1.5.0_12-b04",1314314705078
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1314314705906
