what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327054437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327074171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314327076890
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314327079187
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314327082296
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314327093031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314327094093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314327097171
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314327098156
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314327171531
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314327172812
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314327199687
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1314327202328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314327206546
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314327207500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327215750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327220093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327221171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327237000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327243937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327243937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327244046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327404031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327418250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314327421546
