what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326006687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326106250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326106250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326106375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326309468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326403046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326441890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326666781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326724046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326741328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326762765
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1314326764109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326766109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326787265
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314326787390
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314326787437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314326788859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314326790468
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1314326791281
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314326792156
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314326792625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326793562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326811046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326814390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314326859031
