what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1313990278984
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1313990279406
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1313990279640
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.toggleOverwrite",1313990280562
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1313990282203
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1313990299078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1313990299421
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1313990300140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1313990301437
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1313990301671
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1313990302984
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1313990303250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1313990303640
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1313990304015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1313990304453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990304765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990306218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990306828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990307468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990309437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990324187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990324984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990328203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990330484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1313990367031
